Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet1       10.10.20.48     YES other  up                    up      
GigabitEthernet2       10.255.255.1    YES other  up                    up      
GigabitEthernet3       unassigned      YES NVRAM  up                    up      
Loopback11             1.2.3.1         YES other  up                    up      
Loopback13             13.13.13.13     YES other  up                    up      
Loopback99             99.99.99.99     YES other  up                    up      
Loopback333            3.3.3.3         YES other  up                    up      
Loopback1010           101.101.101.1   YES other  up                    up      
Loopback1299           123.123.123.99  YES other  up                    up      
Loopback1332           1.3.3.2         YES other  up                    up      
Loopback1333           1.3.3.3         YES other  up                    up      
Loopback1334           1.3.3.4         YES other  up                    up      
Loopback1338           172.16.123.1    YES other  up                    up      
Loopback1432           1.4.3.2         YES other  up                    up      
Loopback1533           1.5.3.3         YES other  up                    up      
Loopback2345           2.3.4.5         YES other  up                    up      
Loopback9874           1.2.3.9         YES other  up                    up      
Loopback9992           9.9.9.2         YES other  up                    up      
Loopback9993           9.9.9.3         YES other  up                    up      
Loopback9994           9.9.9.4         YES other  up                    up      
Loopback9995           9.9.9.5         YES other  up                    up      
Loopback9996           9.9.9.6         YES other  up                    up      
Loopback9997           9.9.9.7         YES other  up                    up      
Loopback9998           9.9.9.8         YES other  up                    up      
Loopback10987          10.9.8.7        YES other  up                    up      
